user_message,intent,category
일본 혼슈에 태풍이 상륙했어?,News and Updates,Information Seeking
あまり興味無い、全く興味無い熟語ありますか,Fact-Finding,Information Seeking
protools aaeエラー 941の原因は？,Technical Issues,Information Seeking
반포지하상가,Product or Service Inquiry,Information Seeking
이미 변작된 전산기록을 출력한 문서는 무슨문서인지?,Fact-Finding,Information Seeking
1996년 OECD 가입했을때 표 찾아줘,Fact-Finding,Information Seeking
몽골소식,News and Updates,Information Seeking
수소 관련 유망주,Strategic Analytics,Information Seeking
초파리 기관 형성에 관여하는 혹스 유전자,Fact-Finding,Information Seeking
ティアラ江東の清掃スタッフ岸の問題異常行動とは,Fact-Finding,Information Seeking
사과문 개요서,Tutorials and How-Tos,Information Seeking
군인이 매년 받는 건강검진의 이름은?,Fact-Finding,Information Seeking
이번달 오르는 주식전망,Strategic Analytics,Information Seeking
토평2지구 보상 언제쯤이루어질까요,News and Updates,Information Seeking
株式と債券の上昇と暴落はおなじ、わりあいですか？,Fact-Finding,Information Seeking
콩나물무침을 냉장고에 며칠동안 보관할 수 있어???,Fact-Finding,Information Seeking
동독통일의 에피소드,Fact-Finding,Information Seeking
소망대교,Fact-Finding,Information Seeking
中国　港じゅおうおおはし,Fact-Finding,Information Seeking
電気代の割引は何月分から,Product or Service Inquiry,Information Seeking
566라멘  메뉴 추천해줘요,Advice and Recommendation,Information Seeking
저출산 고령사회의 원인 알려줘,Fact-Finding,Information Seeking
초록색과 어울리는 색상,Advice and Recommendation,Information Seeking
핀제더 아플까,Advice and Recommendation,Information Seeking
小説を書くときに重要なこと,Advice and Recommendation,Information Seeking
건강보험자격득실확인서는 왜 요구하는가,Fact-Finding,Information Seeking
身近な税金の使われ方,Fact-Finding,Information Seeking
최신 뉴스 모아보는 곳 알려줘,Product or Service Inquiry,Information Seeking
서울 지하철 야간 운행시간은?,Product or Service Inquiry,Information Seeking
Linuxの日本語入力の種類,Product or Service Inquiry,Information Seeking
최근 보안 사고사례 이슈에 대해 알려줘,News and Updates,Information Seeking
BMW ix1 xDrive 30M 제원,Fact-Finding,Information Seeking
女性とのデートに、白いパンツはダメなのでしょうか？,Advice and Recommendation,Information Seeking
기부하기 좋은 물품좀 알려줘,Advice and Recommendation,Information Seeking
sbs파워fm 영스트리트 후임자가 누구야,News and Updates,Information Seeking
災害の時に使う便尿の凝固剤の名称とオススメを教えて,Product or Service Inquiry,Information Seeking
나무를 깎아서 큰대자가 써있는 일본산 이름 뭐야?,Product or Service Inquiry,Information Seeking
애니메이션스타일 살펴보기,Fact-Finding,Information Seeking
2024화랑대기 진흥대왕상,Fact-Finding,Information Seeking
건고추 평균가격,Product or Service Inquiry,Information Seeking
"無〇
魚〇
〇酔
〇労

〇に共通して入る漢字は？",Calculation and Logical Solving,Information Seeking
유방암 후유증,Fact-Finding,Information Seeking
블립의 뜻,Fact-Finding,Information Seeking
日本酒箱根山について教えて,Fact-Finding,Information Seeking
디올 뚜주흐 토트백 미듐 특징,Product or Service Inquiry,Information Seeking
불화마그네슘은 지정폐기물인지 알려주고 참고문헌을 찾아줘,Fact-Finding,Information Seeking
배송지명 뭐라고 쓰면 돼?,Advice and Recommendation,Information Seeking
판타지 소설 장르 50개 알려줘,Fact-Finding,Information Seeking
두산에너빌리티 ,Product or Service Inquiry,Information Seeking
