user_message,intent,category,llm
일본 혼슈에 태풍이 상륙했어?,News and Updates,Information Seeking,gpt-o1
あまり興味無い、全く興味無い熟語ありますか,Fact-Finding,Information Seeking,gpt-o1
protools aaeエラー 941の原因は？,Technical Issues,Information Seeking,gpt-o1
반포지하상가,Product or Service Inquiry,Information Seeking,gpt-o1
이미 변작된 전산기록을 출력한 문서는 무슨문서인지?,Fact-Finding,Information Seeking,gpt-o1
1996년 OECD 가입했을때 표 찾아줘,Fact-Finding,Information Seeking,gpt-o1
몽골소식,News and Updates,Information Seeking,gpt-o1
수소 관련 유망주,Strategic Analytics,Information Seeking,gpt-o1
초파리 기관 형성에 관여하는 혹스 유전자,Fact-Finding,Information Seeking,gpt-o1
ティアラ江東の清掃スタッフ岸の問題異常行動とは,Fact-Finding,Information Seeking,gpt-o1
사과문 개요서,Tutorials and How-Tos,Information Seeking,gpt-o1
군인이 매년 받는 건강검진의 이름은?,Fact-Finding,Information Seeking,gpt-o1
이번달 오르는 주식전망,Strategic Analytics,Information Seeking,gpt-o1
토평2지구 보상 언제쯤이루어질까요,News and Updates,Information Seeking,gpt-o1
株式と債券の上昇と暴落はおなじ、わりあいですか？,Fact-Finding,Information Seeking,gpt-o1
콩나물무침을 냉장고에 며칠동안 보관할 수 있어???,Fact-Finding,Information Seeking,gpt-o1
동독통일의 에피소드,Fact-Finding,Information Seeking,gpt-o1
소망대교,Fact-Finding,Information Seeking,gpt-o1
中国　港じゅおうおおはし,Fact-Finding,Information Seeking,gpt-o1
電気代の割引は何月分から,Product or Service Inquiry,Information Seeking,gpt-o1
566라멘  메뉴 추천해줘요,Advice and Recommendation,Information Seeking,gpt-o1
저출산 고령사회의 원인 알려줘,Fact-Finding,Information Seeking,gpt-o1
초록색과 어울리는 색상,Advice and Recommendation,Information Seeking,gpt-o1
핀제더 아플까,Advice and Recommendation,Information Seeking,gpt-o1
小説を書くときに重要なこと,Advice and Recommendation,Information Seeking,gpt-o1
건강보험자격득실확인서는 왜 요구하는가,Fact-Finding,Information Seeking,gpt-o1
身近な税金の使われ方,Fact-Finding,Information Seeking,gpt-o1
최신 뉴스 모아보는 곳 알려줘,Product or Service Inquiry,Information Seeking,gpt-o1
서울 지하철 야간 운행시간은?,Product or Service Inquiry,Information Seeking,gpt-o1
Linuxの日本語入力の種類,Product or Service Inquiry,Information Seeking,gpt-o1
최근 보안 사고사례 이슈에 대해 알려줘,News and Updates,Information Seeking,gpt-o1
BMW ix1 xDrive 30M 제원,Fact-Finding,Information Seeking,gpt-o1
女性とのデートに、白いパンツはダメなのでしょうか？,Advice and Recommendation,Information Seeking,gpt-o1
기부하기 좋은 물품좀 알려줘,Advice and Recommendation,Information Seeking,gpt-o1
sbs파워fm 영스트리트 후임자가 누구야,News and Updates,Information Seeking,gpt-o1
災害の時に使う便尿の凝固剤の名称とオススメを教えて,Product or Service Inquiry,Information Seeking,gpt-o1
나무를 깎아서 큰대자가 써있는 일본산 이름 뭐야?,Product or Service Inquiry,Information Seeking,gpt-o1
애니메이션스타일 살펴보기,Fact-Finding,Information Seeking,gpt-o1
2024화랑대기 진흥대왕상,Fact-Finding,Information Seeking,gpt-o1
건고추 평균가격,Product or Service Inquiry,Information Seeking,gpt-o1
"無〇
魚〇
〇酔
〇労

〇に共通して入る漢字は？",Calculation and Logical Solving,Information Seeking,gpt-o1
유방암 후유증,Fact-Finding,Information Seeking,gpt-o1
블립의 뜻,Fact-Finding,Information Seeking,gpt-o1
日本酒箱根山について教えて,Fact-Finding,Information Seeking,gpt-o1
디올 뚜주흐 토트백 미듐 특징,Product or Service Inquiry,Information Seeking,gpt-o1
불화마그네슘은 지정폐기물인지 알려주고 참고문헌을 찾아줘,Fact-Finding,Information Seeking,gpt-o1
배송지명 뭐라고 쓰면 돼?,Advice and Recommendation,Information Seeking,gpt-o1
판타지 소설 장르 50개 알려줘,Fact-Finding,Information Seeking,gpt-o1
두산에너빌리티 ,Product or Service Inquiry,Information Seeking,gpt-o1
8월에 잘 팔리는 해외구매대행 제품은?,Product or Service Inquiry,Information Seeking,gpt-o1
고등학교 수행평가 잘 보는 법,Advice and Recommendation,Information Seeking,gpt-o1
민재식 교사에 대해서 알려줘,Fact-Finding,Information Seeking,gpt-o1
병원 모시고 가는 알바 ,Product or Service Inquiry,Information Seeking,gpt-o1
물 135도에서 끓이려면 압력이 어느정도 필요해?,Fact-Finding,Information Seeking,gpt-o1
금강송면 둘레길 연락처,Product or Service Inquiry,Information Seeking,gpt-o1
쉽고 멋있는 비보잉 기술 5가지,Advice and Recommendation,Information Seeking,gpt-o1
상남동 샤브시 매장 인테리어 및 음식 특징 ,Product or Service Inquiry,Information Seeking,gpt-o1
국내 관광단지 개발 사례와 개발내용을 알려줘,Fact-Finding,Information Seeking,gpt-o1
융의 분석심리학의 원형에 대해 자료 찾아줘,Fact-Finding,Information Seeking,gpt-o1
삼전 주식,Product or Service Inquiry,Information Seeking,gpt-o1
느끼한걸 잡아줄수 있는 음식 추천해줘,Advice and Recommendation,Information Seeking,gpt-o1
이희영 작가 짧은 소개,Fact-Finding,Information Seeking,gpt-o1
전남학숙이 뭐야,Fact-Finding,Information Seeking,gpt-o1
산재환자 복직,Fact-Finding,Information Seeking,gpt-o1
안문숙근황,News and Updates,Information Seeking,gpt-o1
読書感想文の書き方のコツは？,Tutorials and How-Tos,Information Seeking,gpt-o1
아파트 24평 입주청소 평균 가격은?,Product or Service Inquiry,Information Seeking,gpt-o1
친구들과 나의 관계 ex)부자 관계 같이,Advice and Recommendation,Information Seeking,gpt-o1
와이어본더 장비가 뭐야,Fact-Finding,Information Seeking,gpt-o1
이번달 인천 밴츠화제났던  아파트  이름이  뭐야?,News and Updates,Information Seeking,gpt-o1
이미지 회전,Tutorials and How-Tos,Information Seeking,gpt-o1
서울대 불어교육학과 면접 질문,Fact-Finding,Information Seeking,gpt-o1
청약통장 워크홀 가면 사라짐?,Fact-Finding,Information Seeking,gpt-o1
脳腫瘍術後どのくらいで社会ふっき出来る⁉️,Advice and Recommendation,Information Seeking,gpt-o1
シメジアプリで仮想ペットってありますか,Product or Service Inquiry,Information Seeking,gpt-o1
다리에쥐났을때조치방법,Advice and Recommendation,Information Seeking,gpt-o1
풍선초 씨앗,Fact-Finding,Information Seeking,gpt-o1
타일폐기물톤수산정방법,Fact-Finding,Information Seeking,gpt-o1
사회복지를전공하게된동기,Advice and Recommendation,Information Seeking,gpt-o1
횡단보도에설치하는차량차단봉,Product or Service Inquiry,Information Seeking,gpt-o1
"취업자 힐링 프로그램 추천

",Advice and Recommendation,Information Seeking,gpt-o1
선크림 지우는 법,Tutorials and How-Tos,Information Seeking,gpt-o1
2024 카니발 하이브리드 ,Product or Service Inquiry,Information Seeking,gpt-o1
세븐틴 앟아?,Fact-Finding,Information Seeking,gpt-o1
노인주간보호센터 이용자 모집 획기적인 방법,Advice and Recommendation,Information Seeking,gpt-o1
충남 부여에 관한 노래는 어떤게 있나요?,Fact-Finding,Information Seeking,gpt-o1
신생아호흡곤란증후군,Fact-Finding,Information Seeking,gpt-o1
完熟梅を有効に使って、長期利用の出来る方法は？,Advice and Recommendation,Information Seeking,gpt-o1
マルチビタミンミネラルサプリの摂取頻度は？,Product or Service Inquiry,Information Seeking,gpt-o1
전원에 내부저항이 있어?,Fact-Finding,Information Seeking,gpt-o1
ただの七光りとはどういう意味,Fact-Finding,Information Seeking,gpt-o1
SourceTreeでスカッシュする手順を教えてください。,Tutorials and How-Tos,Information Seeking,gpt-o1
